s,pid,qid,passage,queries,relevancy,new
3,425053,425053,libavcodec library containing native ffmpeg audiovideo encoders decoders codecs developed scratch ensure best performance high code reusability libavformat lavf library containing demuxers muxers audiovideo container formats,lavf,1,0.0742208045138279
11,412928,412928,milicov gc5qw8k created drobec 452015 micro size geocache difficulty 15 terrain 15 located kraj vysocina czech republicsouřadnice tě dovedou k místnímu smírčímu křížovému kameni ke kameni se vztahuje pověst svatebčanech kteří byli napadeni býkem,milicov,1,0.0464627347503296
18,398359,398359,latin cingulum cincture commonly called england girdle article liturgical attire certainly recognized since ninth century used confine loose flowing alb prevent impeding movements wearer,cincture,1,0.0421075508696363
58,394974,394974,butalbital acetaminophen caffeine codeine phosphate capsules contraindicated postoperative pain management pediatric patients undergoing tonsillectomy andor adenoidectomy [ see contraindications ],butalbitalacetamincaffcod,1,0.0271321708707131
449,374229,374229,cyclin family proteins control progression cells cell cycle activating cyclin-dependent kinase enzymes,cyclin,1,0.0140841901870359
484,417536,417536,related tags volbeat heavy metal band denmark founded 2001 released first album strengththe soundthe songs 2005 follow rock rebelmetal devil released denmark february 19 2007 rest europe february 26 2007,volbeat,1,0.0138311643275401
573,388295,388295,gorm dissolver gorm dissolver huge biomechanical droid bounty hunter lives nar shaddaa bio-components came six different aliens protected heavy plated armour full helmet,gorm dissolver,1,0.0131104955590788
1040,404981,404981,american collegiate hockey association acha chartered non-profit corporation national governing body club varsity college ice hockey united states organization provides structure regulations promotes quality play sponsors national awards national tournaments,acha,1,0.010740254872678
1076,401884,401884,biokinetics profession concerned health promotion maintenance physical abilities final phase rehabilitation means scientifically-based physical activity program prescription,biokinetics,1,0.0106246987255445
1322,374344,374344,graphical user interface gui ɡuːiː type user interface allows users interact electronic devices graphical icons visual indicators secondary notation instead text-based user interfaces typed command labels text navigation,gui|,1,0.0099100632820196
1451,374527,374527,púca irish spiritghost pooka phouka phooka phooca puca púka primarily creature celtic folklore considered bringers good bad fortune could either help hinder rural marine communitiesthe púca dark staunch white fur hair,phooka,1,0.0095988609052623
1510,413901,413901,middle kingdom egypt ancient egyptian art depicting defeat hyksos year 1700 bce watershed event occurred egyptian history : invasion hyksos people josephus flavius jewish historian 1st century ce author antiquities jews identified hyksos hebrews historians today disagree striking similarities first hyksos people alien culture follow egyptian religion hyksos pharaohs never claimed gods build tremendous monuments later pharaohs would also moved capital egypt northward,hyksos people,1,0.0094806901584727
1813,383418,383418,john milton summary john milton wrote “ lycidas ” considered greatest poem type english near start literary career invited contribute justa edouardo king 1638 volume poems commemorating edward king called “ lycidas ” poem known classmate cambridge university,miltons lycidas,1,0.0089505233706521
1856,417154,417154,billie eilish 15-year-old pop prodigy—and shes intimidating hell daring up-and-comer talks music style hatred smiling,billie eilish,1,0.0088823732184888
2592,426039,426039,maryam mirzakhani maryam mirzakhani persian : مریم میرزاخانی born may 3 1977 iranian-american mathematician professor mathematics stanford university research topics include teichmüller theory hyperbolic geometry ergodic theory symplectic geometry,maryam mirzakhani,1,0.0079087925589266
2609,393227,393227,quick answer 36 inches 1 yard equal 3 feet yard believed length average stride inch represents 112 foot inch english word derives latin word uncia means one-twelfth continue reading,many inches yard,1,0.0078937744295068
